AwakerStory_11170_Title,atAY,h唤醒体故事_AwakerStory_A.csv,94,AwakerStory,Title,图鲁,基础资料,Basic Information
AwakerStory_11170_Content,atAX,h唤醒体故事_AwakerStory_A.csv,94,AwakerStory,Content,图鲁,年幼的王沉睡于王座之上，于梦醒时分示下诏谕，权威遍及天下王土。\n夕日未落，王已然感到疲倦。他厌倦了自身的权能，也厌倦了超人的智慧，厌倦了信徒狂热的崇拜和供奉，也厌倦了超越万古的长梦。\n没人知道他在漫长的睡眠中都梦到了什么，但他们应当庆幸自己享有此等无知的幸福。,"The young king slumbers upon His throne. Prophecies awake from His unfathomable dreams. Territories flourish in His sovereignity.\nWeariness casts its texture on His crown ere the sunset. Exhaustion weaves in twilight: of His own authority, of the transcedent wisdom, of fervent worshipping and sacrifices from believers, and of the dreams drowning from ancient aeons.\nNo one exactly knows what stirs in His endless slumber, yet they should be grateful for being enclosed in such placid ignorance."
AwakerStory_11170_UnlockDesc,atAZ,h唤醒体故事_AwakerStory_A.csv,94,AwakerStory,UnlockDesc,图鲁,唤醒体等级达到1级,Awakener has reached level 1
AwakerStory_11354_Title,atPg,h唤醒体故事_AwakerStory_A.csv,95,AwakerStory,Title,图鲁,故事·一,Story: I
AwakerStory_11354_Content,atPf,h唤醒体故事_AwakerStory_A.csv,95,AwakerStory,Content,图鲁,在此之前，我们所知的人类最古老的文明起源于双河地，有大量扎实的考古学资料可以证明这一点。\n不过，人类总是不会满足于已知之物，当面对浩瀚无垠的幽暗海洋时，人们不会停止向着未知的海洋扬帆远航。\n也许我们不是第一次得到提醒与暗示。神智学家们曾提出过这样的假说：宇宙乃是一个令人敬畏的循环，而今我们的世界与人类本身，只是其中的短暂一环。\n有太多事物无声湮灭在循环之中，没留下一丝可供论证的凭据——这还是值得庆幸的，有些力量太过久远极端，哪怕只是残存的遗迹，都能够对我们的时代产生不可估量的影响。\n——例如这一次，「警戒号」船员在南洋海底的意外发现，至少将人类对史前文明的认知拓展到了数万年前。\n我们由此得知了一个存在国家、君主与特殊信仰的文明，毁灭于一场世界性大洪水中，长久地沉眠于海底。\n若没有密斯底亚协定审查会在封锁工作上的协助，人类历史或许就将被改写——而如今的世界，还没有做好面对颠覆的准备。,"The oldest known human civilization is heretofore believed to originate from Mesopotamia, supporting by massive solid archaeological evidences.\nHowever, humanity never satisfy with their scattered knowledge. Facing with the vast, black seas of infinity, people won't stop to voyage far into the unknown.\nPerhaps this is not the first time we are warned about the lurking danger, ot hinted at the dread truth. Theosophists have guessed at the awesome grandeur of the cosmic cycle wherein our world and human race form transient incidents.\nMany has dissolved in distant cycles, leaving no trace for further verification—which should still be regarded as a mercy, since among those old and unhallowed cycles some ancient supreme force still echoing, which may be conceivably the survival of a hugely remote period, threating to cast immeasurable shadows on our era.\n—For instance, the unexpected discovery of the ""Vigilant"" from the bottom of the Southern Ocean has dramatically advancing humanity's understanding of prehistoric civilizations for at least ten thousand years.\nWe therefore can get a glimpse on an ancient civilization with national systems, monarchs, religious beliefs, and its fall to the undersea depth during a global flood.\nHad it not been for the assistance of the Mystia Treaty Committee in the blockade efforts, human history might have been rewritten—and today's world is still not ready to face such upheaval."
AwakerStory_11354_UnlockDesc,atPh,h唤醒体故事_AwakerStory_A.csv,95,AwakerStory,UnlockDesc,图鲁,同调率等级达到3,Affinity Level 3
AwakerStory_11280_Title,atJw,h唤醒体故事_AwakerStory_A.csv,96,AwakerStory,Title,图鲁,故事·二,Story: II
AwakerStory_11280_Content,atJv,h唤醒体故事_AwakerStory_A.csv,96,AwakerStory,Content,图鲁,有的唤醒体会在醒来后表现出对新躯壳、新生活的不适应，而有的则迅速接受了现状，较为主动地开始了第二生。\n图鲁不属于任何一种，从未有人像他这样露骨地表现出对当前世界的兴趣索然。\n他的素质极为优秀，也许他对当下世界的形势与危机也早有洞悉，但他宁愿把大把的时间用于睡眠。\n尽管并非出自本人的愿望，他在学校的人类与唤醒体之间也颇有名气。研究员们观察着他的一举一动，时不时发上几篇论文；考古学系、天文学系经常发来各种名目的学术研讨邀请，大部分都会指名请他参加。\n图鲁在唤醒体之间也有相当大的影响力：墨菲一看见他就闷闷不乐，戈利亚似乎总想与他暗中较劲，弥利亚姆则将他的每一句话奉为圣旨。\n对于这些，他从未表现出什么特殊的态度，没有期待，也没有要求。\n有时，他会随心所欲地回应部分请求，有时则不会。,"Some Awakeners struggle with their new bodies and lives after awakening, while others quickly adapt and actively begin their second life.\nTulu belongs to neither group. His openly insouciant towards the current world is unprecedented.\nHis abilities are outstanding. Perhaps he could even foresee all the turbulences and theats in our world. But he choose to spend most of his time in the haze of dreams.\nThough unintentionally on doing so, he has become well-known across the university. Researchers observe his most minor moves and turn them into papers; the Archaeology and Astronomy departments frequently extend invitations for academic discussions, specifically requesting his attendance.\nTulu maintains his considerable influence among Awakeners: his presence makes Murphy gloomy upon sight, his power evokes Goliath's inexplicit competitive desire all the time, and his words are put onto Miryam's shrine.\nHowever those reactions fall into blandness on his face, which is flat and unemotional like the tranquil sea. No demands. No expectations.\nSometimes their requests earn his responds as he wishes to. Other times they just dissolve into the slumbering air enclosing him."
AwakerStory_11280_UnlockDesc,atJx,h唤醒体故事_AwakerStory_A.csv,96,AwakerStory,UnlockDesc,图鲁,同调率等级达到5,Affinity Level 5
AwakerStory_11349_Title,atOM,h唤醒体故事_AwakerStory_A.csv,97,AwakerStory,Title,图鲁,故事·三,Story: III
AwakerStory_11349_Content,atOL,h唤醒体故事_AwakerStory_A.csv,97,AwakerStory,Content,图鲁,被从万千孩童中选出，被推上王座时，图鲁还不及那青金石御座高。\n但无人敢对他的漫不经心与久睡不醒置喙——所有人都知道，这是王正在聆听神谕的证明。\n贤明幼王所做的决断，必然会解决难题；所说出的预言，必然会应验。\n图鲁也就接受了这样的生活：进入「神明」的梦中，与那无法被理解的存在相见，以神谕治理国家，再度陷入沉睡……\n这个文明的运转，是由神明意志所决定的。顺势而下，应运而为，自己只要当好这独一无二的「传话人」便足矣。\n然而，图鲁也有唯一未能说出口的预言：国家将因洪水而覆灭，文明终将葬身海底。\n正因通晓一切，才更知毁灭无可改变——但至少在最后的时间里，不要让他们生活在恐惧与仿徨中。\n这是他身为国王，而非「神明代行者」所作出的决断。,"Chosen from countless children, Tulu was still shorter than that lazurite throne upon coronation.\nBut no one dare ever doubt his insouciant or somnolent—they are revered as proof of his listening to the divine.\nThe young king's determination will resolve difficulties; the young king's prophecy will fulfill.\nTulu's life therefore anchored: moulding himself into the ""God""'s dreams, meeting with that dim enigmatic existence, uttering prophecies that dominate his country, sinking once again into chaotic dreams...\nThe will of higher presence determines the entire civilization. His position is nothing more than a ""messenger"". Drifting in their tides. Preparing for their arrangement.\nHowever, there is one prophecy Tulu left untold: the nation would be drown by flood. The civilization would sink beneath the waves.\nForeseen by his omniscient power, the final destruction is inevitable—But trepidation and skeptism can still be imprisoned in his dream. His people can live soundly until the last moment.\nThis is His determination, not as a ""proxy of the divine"", but as a king."
AwakerStory_11349_UnlockDesc,atON,h唤醒体故事_AwakerStory_A.csv,97,AwakerStory,UnlockDesc,图鲁,同调率等级达到7,Affinity Level 7
AwakerStory_11316_Title,atMk,h唤醒体故事_AwakerStory_A.csv,98,AwakerStory,Title,图鲁,故事·四,Story: IV
