AwakerStory_11336_Title,atNM,h唤醒体故事_AwakerStory_A.csv,99,AwakerStory,Title,法洛思,基础资料,Basic Information
AwakerStory_11336_Content,atNL,h唤醒体故事_AwakerStory_A.csv,99,AwakerStory,Content,法洛思,必须留心，她那冷静、知性的话语具有着令人失神的魅力。不要好奇异形的头颅之下是否有另一副容貌，只需了解她对于这副类人的身体抱有长久的不满。\n她的灯火曾诱引着飞蛾，也曾将迷途者置于死地，而如今那其中似乎正透露出迷途者的茫然。,"Beware, siren's mesmerizing charm lurks under her seemingly calm and rational words. Never show curiouity about the maybe different appearance beneath her malformed hemlet; never forget her long-lasting dissatisfaction with that humanoid body.\nHer gleaming light once lured moths to the molten warmth. Her burning fire once guided the lost to their doom. But now, only confusion flickers in her lighthouse, overlooking the disorienting sea."
AwakerStory_11336_UnlockDesc,atNN,h唤醒体故事_AwakerStory_A.csv,99,AwakerStory,UnlockDesc,法洛思,唤醒体等级达到1级,Awakener has reached level 1
AwakerStory_11264_Title,atIk,h唤醒体故事_AwakerStory_A.csv,100,AwakerStory,Title,法洛思,故事·一,Story: I
AwakerStory_11264_Content,atIj,h唤醒体故事_AwakerStory_A.csv,100,AwakerStory,Content,法洛思,过去三年，蒙格三角海域发生了大量船只遇险事故，并伴有数起整船失踪事件。\n一名水手证言，在参与事故救援时，他曾于遇险船只的甲板上目击到一名「头部发光的女人」。\n外勤调查员闻讯赶往蒙格三角海域，但船只一度失去音讯。当增援队伍找到船只时，该先遣船已经失去动力，正随洋流漂向蒙格三角中心。所有船员高度缺水，极度虚弱，并自述产生了强烈的幻觉。\n在对船员进行医疗检查时，从艾佛斯调查员的随身物品中发现了银芯，但调查员本人始终否认船只与唤醒体发生过接触。\n该银芯后被唤醒体系封存，编号6291-S-S-01，计划于A.F.315年作为预科调查员唤醒教学使用。,"The past three years have seen a large number of shipwreck incidents in the Monge Triangle sea area, accompanied by several cases of totally missing.\nAccording to a sailor's testimony, a ""woman with a glowing head"" has been witnessed on the deck of the victim vessel during the rescue operation.\nThe field investigators rushed to the Monge Triangle sea area, but his ship had lost contact after arrivial. When the reinforcements finally found the spearhead ship, it had already lost power, drifting by the current towards the center of the Monge Triangle. All crew members were severely dehydrated and feeble. Massive hallucinations with acute intensity have been reported.\nDuring the medical examination of the crew, a Silvercore was found among Investigator Ivors' personal belongings. The investigator himself consistently denied any contact between the ship and any Awakener.\nThe Silvercore was later sealed by the Awakener Department, numbered 6291-S-S-01, scheduled to use as teaching materials for pre-investigators in A.F. 315."
AwakerStory_11264_UnlockDesc,atIl,h唤醒体故事_AwakerStory_A.csv,100,AwakerStory,UnlockDesc,法洛思,同调率等级达到3,Affinity Level 3
AwakerStory_11331_Title,atNs,h唤醒体故事_AwakerStory_A.csv,101,AwakerStory,Title,法洛思,故事·二,Story: II
AwakerStory_11331_Content,atNr,h唤醒体故事_AwakerStory_A.csv,101,AwakerStory,Content,法洛思,大多数时间都静静占据着角落一隅的空间，如同真正的灯塔，在迷航时会出言将大家拉回正轨、给予指引。\n只有在与其他深海来客同处一室时，灯火才能照出她疯狂与偏执的影子。\n安静知性的外表之下，法洛思出人意料对远洋航行颇具心得。尽管诱拐、献祭海员的嫌疑尚未洗清，目前仍处于守密人的监管状态下，但法洛思还是帮助校方修订了不少航海相关资料。\n——根据校方合作船舶的水手反馈，法洛思的修订意见虽然有效，但经常会有意无意将航向引往蒙格三角海域。\n校方在获悉此事后，禁止了法洛思接触一切海洋相关资料。,"Like a real lighthouse, most of the time her presence is nothing more than a steady glow at a corner, peaceful, isolated. Her words only illuminates when confusion stirs the air, while her guidances clearer than nautical navigation.\nOnly when she meets with other Aequor visitors does the light reveal her shadow, twisting under paranoid madness.\nIn contrast to her serene and intellectual appearance, Faros has unexpectedly profound knowledge in ocean voyages. Despite the unresolved suspicions of abducting and sacrificing sailors, she has assisted the university in revising numerous nautical documents under the Keeper's supervision.\n—According to feedback from sailors of cooperative vessels, Faros's revisions, though effective, often (though not clear whether she is intentionally or not) steer the course towards the Monge Triangle.\nThe university has then prohibited Faros from accessing any ocean-related materials."
AwakerStory_11331_UnlockDesc,atNt,h唤醒体故事_AwakerStory_A.csv,101,AwakerStory,UnlockDesc,法洛思,同调率等级达到5,Affinity Level 5
AwakerStory_11268_Title,atIA,h唤醒体故事_AwakerStory_A.csv,102,AwakerStory,Title,法洛思,故事·三,Story: III
AwakerStory_11268_Content,atIz,h唤醒体故事_AwakerStory_A.csv,102,AwakerStory,Content,法洛思,真神最虔诚的信徒，国王最忠实的臣民，用信仰之光照亮朝圣之路。\n永恒之国的倾塌沉没，于法洛思而言就像城楼失去了地基，藤蔓失去了土壤。对永恒之国的信仰支撑着她在世间浮游，但久寻不见的哀苦与无尽的孤独最终压垮了可怜的旅人。\n法洛思深深潜入她热爱又憎恶的大海，掀起滔天巨浪，海水翻腾犹如记忆中的祭礼焰火般绚烂，让她感到了丝丝慰藉。\n在被英雄斩下头颅时，那如炬目光看向的，应也是她无法割舍的永恒之国吧。,"The radiance of devotion illuminates her pilgrimage. A glorious ascension for the most devout follower of her true lord. A golden promise for the most loyal subject of her king.\nIt collapses. The Divine Realm is a sinking lie, a fortress without foundation, a vine drifting away from its soil. Her dolor billows. Her desolation turmoils. The remaining faith in the Divine Realm cannot keeps Faros afloat anymore. The poor wanderer eventually drowned.\nDiving deep into the sea, her love and hatred agitates into swelling waves. The water whirls and spumes and eddies, splendor as the ceremony fireworks in her memory, a festival almost like a solace.\nHer final torched gaze before being beheaded by the hero, must have been cling to the Divine Realm she couldn't forgo."
AwakerStory_11268_UnlockDesc,atIB,h唤醒体故事_AwakerStory_A.csv,102,AwakerStory,UnlockDesc,法洛思,同调率等级达到7,Affinity Level 7
AwakerStory_11366_Title,atQc,h唤醒体故事_AwakerStory_A.csv,103,AwakerStory,Title,法洛思,故事·四,Story: IV
