Key;ShortKey;Source;Row;Module;Field;Character;CN;EN;RU;ES;JP;KR;FR;DE;PT;TH;IN;VI
AvgCommunicate_57992_Content_1;abGc;avg通讯器聊天表_AvgCommunicate_A_M.csv;494;AvgCommunicate;Content;哈姆林;这里的音乐教室堪称简陋。;;;;;;;Dieser Musikraum ist durchaus karg ausgestattet.;;;;
AvgCommunicate_57992_Content_2;abGf;avg通讯器聊天表_AvgCommunicate_A_M.csv;495;AvgCommunicate;Content;哈姆林;礼堂也实在是不堪入目。;;;;;;;Auch der Saal ist absolut unansehnlich.;;;;
AvgCommunicate_57992_Content_3;abGg;avg通讯器聊天表_AvgCommunicate_A_M.csv;496;AvgCommunicate;Content;哈姆林;还有你们的那些乐器，负责维护的人是谁，难道不知道定期调音吗？;;;;;;;Und wer ist für die Wartung eurer Instrumente zuständig? Wissen die etwa nicht, dass sie regelmäßig gestimmt werden müssen?;;;;
AvgCommunicate_57992_Option_4;abGs;avg通讯器聊天表_AvgCommunicate_A_M.csv;497;AvgCommunicate;Option;玩家;哈姆林……;;;;;;;Hameln...;;;;
AvgCommunicate_57992_Content_4;abGh;avg通讯器聊天表_AvgCommunicate_A_M.csv;497;AvgCommunicate;Content;玩家;哈姆林……;;;;;;;Hameln...;;;;
AvgCommunicate_57992_Content_5;abGi;avg通讯器聊天表_AvgCommunicate_A_M.csv;498;AvgCommunicate;Content;哈姆林;难以置信，这就是高等学府的音乐素养吗？简直让人无法接受。;;;;;;;Unglaublich, ist das das musikalische Niveau einer renommierten Universität? Das ist einfach inakzeptabel.;;;;
AvgCommunicate_57992_Content_6;abGj;avg通讯器聊天表_AvgCommunicate_A_M.csv;499;AvgCommunicate;Content;哈姆林;从今天开始，这些东西就由我全面接管了。;;;;;;;Ab heute werde ich die volle Verantwortung für all diese Angelegenheiten übernehmen.;;;;
AvgCommunicate_57992_Content_7;abGk;avg通讯器聊天表_AvgCommunicate_A_M.csv;500;AvgCommunicate;Content;哈姆林;在银霜节之前，我一定要训练出一个合格的乐团。;;;;;;;Ich muss vor dem Silberfrost-Festival ein kompetentes Orchester trainieren.;;;;
AvgCommunicate_57992_Option_8;abGw;avg通讯器聊天表_AvgCommunicate_A_M.csv;501;AvgCommunicate;Option;玩家;幸好我不是乐团成员。;;;;;;;Zum Glück bin ich kein Mitglied des Orchesters.;;;;
AvgCommunicate_57992_Content_8;abGl;avg通讯器聊天表_AvgCommunicate_A_M.csv;501;AvgCommunicate;Content;玩家;幸好我不是乐团成员。;;;;;;;Zum Glück bin ich kein Mitglied des Orchesters.;;;;
AvgCommunicate_57992_Content_9;abGm;avg通讯器聊天表_AvgCommunicate_A_M.csv;502;AvgCommunicate;Content;哈姆林;你也别想走，指挥家。;;;;;;;Sie kommen mir nicht davon, {Male=Dirigent,Female=Dirigentin}.;;;;
AvgCommunicate_57992_Option_10;abGo;avg通讯器聊天表_AvgCommunicate_A_M.csv;503;AvgCommunicate;Option;玩家;？！;;;;;;;?!;;;;
AvgCommunicate_57992_Content_10;abGd;avg通讯器聊天表_AvgCommunicate_A_M.csv;503;AvgCommunicate;Content;玩家;？！;;;;;;;?!;;;;
AvgCommunicate_57992_Content_11;abGe;avg通讯器聊天表_AvgCommunicate_A_M.csv;504;AvgCommunicate;Content;玩家;我没有报名啊！;;;;;;;Ich habe mich dafür nicht angemeldet!;;;;
AvgCommunicate_66999_Content_1;abZK;avg通讯器聊天表_AvgCommunicate_A_M.csv;1115;AvgCommunicate;Content;哈姆林;%player%%sirormadam%，我刚才受校方邀请，帮弥萨格录制了上课和下课时播放的音乐。;;;;;;;{Male=Herr,Female=Frau} %player%, ich wurde kürzlich von der Mythag-Universität eingeladen, bei der Aufnahme der Musik für die Unterrichtspausen mitzuwirken.;;;;
