EnchantConfig_18169_Desc,awfL,f附魔_EnchantConfig_A.csv,9,EnchantConfig,Desc,,打出后获得 [Arg1] 点算力。,使用時、1点の行動力を獲得する。,
EnchantConfig_18169_Name,awfM,f附魔_EnchantConfig_A.csv,9,EnchantConfig,Name,,<WhiteQuality:筹算>,<WhiteQuality:算力>,
EnchantConfig_18170_Desc,awfN,f附魔_EnchantConfig_A.csv,35,EnchantConfig,Desc,,打出后获得 [Arg1] 层<RetaliateIconKeywords:反击>，对所有敌人造成 [Arg2]% <RetaliateIconKeywords:反击>的真实伤害。,使用時、[Arg1]点の<RetaliateIconKeywords:反撃>を獲得し、すべての敵に<RetaliateIconKeywords:反撃>の[Arg2]％分の固定ダメージを与える。,
EnchantConfig_18170_Name,awfO,f附魔_EnchantConfig_A.csv,35,EnchantConfig,Name,,<OrangeQuality:高级尖刺>,<OrangeQuality:上位尖刺>,
EnchantConfig_18171_Desc,awfP,f附魔_EnchantConfig_A.csv,33,EnchantConfig,Desc,,打出后额外生效 [Arg1] 次，获得 [Arg2] 点黑印，<DepleteIconKeywords:消耗>、<GuyouKeywords:固有>。,使用時、カードの効果が[Arg1]回発動し、[Arg2]黒章を獲得する。<DepleteIconKeywords:消費>、<GuyouKeywords:固有>。,
EnchantConfig_18171_Name,awfQ,f附魔_EnchantConfig_A.csv,33,EnchantConfig,Name,,<OrangeQuality:高级回声>,<OrangeQuality:上位反響>,
EnchantConfig_18172_Desc,awfR,f附魔_EnchantConfig_A.csv,25,EnchantConfig,Desc,,打出后使所有敌人失去 [Arg1] 点临时<PowerIconKeywords:力量>。,使用時、すべての敵から[Arg1]点の<PowerIconKeywords:力>を一時的に減少させる。,
EnchantConfig_18172_Name,awfS,f附魔_EnchantConfig_A.csv,25,EnchantConfig,Name,,<WhiteQuality:衰竭>,<WhiteQuality:衰弱>,
EnchantConfig_18173_Desc,awfT,f附魔_EnchantConfig_A.csv,38,EnchantConfig,Desc,,打出后 <EmbryoFusionIconKeywords:胚胎融合>  +[Arg1]%。,使用時、<EmbryoFusionIconKeywords:胚胎融合>+[Arg1]％。,
EnchantConfig_18173_Name,awfU,f附魔_EnchantConfig_A.csv,38,EnchantConfig,Name,,<OrangeQuality:高级嗜血>,<OrangeQuality:上位吸血>,
EnchantConfig_18174_Desc,awfV,f附魔_EnchantConfig_A.csv,30,EnchantConfig,Desc,,打出后<VulnerabilityIconKeywords:易伤>所有敌人 [Arg1] 回合。,使用時、すべての敵に[Arg1]点の<VulnerabilityIconKeywords:易傷>を付与する。,
EnchantConfig_18174_Name,awfW,f附魔_EnchantConfig_A.csv,30,EnchantConfig,Name,,<OrangeQuality:高级易伤>,<OrangeQuality:上位易傷>,
EnchantConfig_18175_Desc,awfX,f附魔_EnchantConfig_A.csv,37,EnchantConfig,Desc,,打出后使 1 条触腕攻击 [Arg1] 次。,使用時、1本の触腕が[Arg1]回攻撃する。,
EnchantConfig_18175_Name,awfY,f附魔_EnchantConfig_A.csv,37,EnchantConfig,Name,,<OrangeQuality:高级统御>,<OrangeQuality:上位統御>,
EnchantConfig_18176_Desc,awfZ,f附魔_EnchantConfig_A.csv,18,EnchantConfig,Desc,,打出后使 1 条触腕攻击 [Arg1] 次。,使用時、1本の触腕が[Arg1]回攻撃する。,
EnchantConfig_18176_Name,awga,f附魔_EnchantConfig_A.csv,18,EnchantConfig,Name,,<WhiteQuality:统御>,<WhiteQuality:統御>,
EnchantConfig_18177_Desc,awgb,f附魔_EnchantConfig_A.csv,27,EnchantConfig,Desc,,打出后抽 [Arg1] 张牌。,使用時、カードを[Arg1]枚引く。,
EnchantConfig_18177_Name,awgc,f附魔_EnchantConfig_A.csv,27,EnchantConfig,Name,,<OrangeQuality:高级妙手>,<OrangeQuality:上位妙手>,
EnchantConfig_18178_Desc,awgd,f附魔_EnchantConfig_A.csv,34,EnchantConfig,Desc,,战斗开始后将 [Arg1] 张临时复制洗入抽牌堆，原始卡牌和镜像卡牌均获得<RetainIconKeywords:保留>。,戦闘開始時、[Arg1]枚のコピーを山札に追加する。元のカードとコピーは<RetainIconKeywords:保持>を獲得する。,
EnchantConfig_18178_Name,awge,f附魔_EnchantConfig_A.csv,34,EnchantConfig,Name,,<OrangeQuality:高级镜像>,<OrangeQuality:上位鏡像>,
EnchantConfig_18179_Desc,awgf,f附魔_EnchantConfig_A.csv,40,EnchantConfig,Desc,,打出后获得 [Arg1] 点<PowerIconKeywords:力量>。,使用時、[Arg1]点の<PowerIconKeywords:力>を獲得する。,
