CHARACTER,CHARACTER,CHINESE,ENGLISH,RUSSIAN,SPANISH,JAPANESE,KOREAN,FRENCH,GERMAN,PORTUGUESE,THAI,INDONESIAN,VIETNAMESE
拉蒙娜,Ramona,世界演绎法,Mundus Decree,,,,,,Mundus-Dekret,,,,
拉蒙娜,Ramona,高效思维,Efficient Thinking,,,,,,Effizientes Denken,,,,
拉蒙娜,Ramona,模拟演绎,Echoed Simulation,,,,,,Echosimulation,,,,
拉蒙娜,Ramona,弥萨格利刃,Mythag's Blade,,,,,,Mythags Klinge,,,,
环行·拉蒙娜,Ramona: Timeworn,悖论收束,Paradox Converged,,,,,,Paradox konvergiert,,,,
环行·拉蒙娜,Ramona: Timeworn,现实模仿,Reality Imitation,,,,,,Realitätsnachahmung,,,,
环行·拉蒙娜,Ramona: Timeworn,环行轨迹,Orbital Path,,,,,,Umlaufbahn,,,,
环行·拉蒙娜,Ramona: Timeworn,负熵演算,Negentropy Calculation,,,,,,Negentropieberechnung,,,,
奥吉尔,Ogier,七艺，传承美德,Seven Arts and Virtues,,,,,,Sieben Künste und Tugenden,,,,
奥吉尔,Ogier,骑士热诚,Knight's Zeal,,,,,,Rittereifer,,,,
奥吉尔,Ogier,前阵战术,Frontline Tactics,,,,,,Taktiken an vorderster Front,,,,
奥吉尔,Ogier,战斗启示,Battle Insight,,,,,,Kampfeinblick,,,,
萝坦,Lotan,混沌之兽,Beast of Chaos,,,,,,Chaosbestie,,,,
萝坦,Lotan,廻环剑技,Looping Swordplay,,,,,,Looping-Schwertkampf,,,,
萝坦,Lotan,战意,Battle Intent,,,,,,Kampfwille,,,,
萝坦,Lotan,星兽余威,Starbeast's Afterglow,,,,,,Nachglühen der Sternenbestie,,,,
朵尔,Doll,理性，真理与现实,"Rationality, Truth, and Reality",,,,,,"Vernunft, Wahrheit, und Realität",,,,
朵尔,Doll,深度治疗,Deep Healing,,,,,,Intensive Heilung,,,,
朵尔,Doll,生理剖析,Physiological Analysis,,,,,,Physiologische Analyse,,,,
朵尔,Doll,外域灌注,Outland Infusion,,,,,,Außenwelt-Infusion,,,,
雷娅,Leigh,献媚者之拥,Flatterer's Embrace,,,,,,Umarmung des Schmeichlers,,,,
雷娅,Leigh,凝血治疗,Healing Coagulation,,,,,,Gerinnungstherapie,,,,
雷娅,Leigh,欢愉果实,Fruit of Joy,,,,,,Frucht der Freude,,,,
雷娅,Leigh,渴血狂欢,Bloodlust Carnival,,,,,,Blutrünstiger Karneval,,,,
尤乌哈希,Uvhash,血与沙的赞歌,Hymn of Blood and Sand,,,,,,Hymne aus Blut und Sand,,,,
尤乌哈希,Uvhash,血之宣告,Bloody Proclamation,,,,,,Blutdeklaration,,,,
